"TIME","GEO","INDIC","S_ADJ","Value","Flag and Footnotes"
"1989M03","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","111.8",""
"1989M02","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","112.5",""
"1989M01","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","112.3",""
"1988M12","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","112.4",""
"1988M11","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","112.2",""
"1988M10","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","112.2",""
"1988M09","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","109.9",""
"1988M08","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","109.1",""
"1988M07","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","108.6",""
"1988M06","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","108.9",""
"1988M05","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","106.7",""
"1988M04","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","106.0",""
"1988M03","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","104.9",""
"1988M02","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","103.7",""
"1988M01","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.8",""
"1987M12","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.6",""
"1987M11","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.4",""
"1987M10","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.8",""
"1987M09","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","103.3",""
"1987M08","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.4",""
"1987M07","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.3",""
"1987M06","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.2",""
"1987M05","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.7",""
"1987M04","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.9",""
"1987M03","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.6",""
"1987M02","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","99.2",""
"1987M01","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","99.9",""
"1986M12","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.7",""
"1986M11","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.6",""
"1986M10","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.4",""
"1986M09","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.8",""
"1986M08","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.8",""
"1986M07","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.7",""
"1986M06","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.8",""
"1986M05","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.8",""
"1986M04","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.6",""
"1986M03","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.8",""
"1986M02","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.1",""
"1986M01","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.1",""
"1985M12","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","98.3",""
"1985M11","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","98.6",""
"1985M10","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","97.4",""
"1985M09","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","96.7",""
"1985M08","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.4",""
"1985M07","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.4",""
"1985M06","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.5",""
"1985M05","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","96.0",""
"1985M04","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.2",""
"1985M03","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","94.3",""
"1985M02","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.6",""
"1985M01","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","97.0",""
